type	category	entry	subentry	book	page
com		Cybercrime		1	5
com		Sabotage		1	15
com		Espionage		1	15
com		Cybercrime		1	17
com	Malware	SpyEye		1	17
com	Malware	Citadel		1	17
com		Tailored malware		1	17
com	Malware	Carbanak		1	17
com		Bangladesh Hack		1	17
goto		Bangladesh Bank Heist	Bangadesh Hack
com		Backend banking services		1	17
com	Malware	Citadel		1	17
com	Malware	Dridex		1	17
com	Malware	Zeus		1	17
com		Ransomware		1	17
com	Malware	Zeus		1	18
com		Banking trojans		1	18
com	Malware	Zeus	Credential-theft attack	1	18
com	Malware	Zeus	Source code leak	1	18
com	Malware	Zeus	Ransomware	1	18
com	Malware	Zeus	Tech Support scams	1	18
goto	Malware	Zbot	Zeus
com		Man-in-the-browser		1	18
com	Ransomware	CryptoLocker		1	18
com	Malware	Zeus-in-the-mobile		1	18
goto	Malware	ZitMo	Zeus-in-the-mobile
com		Mobile Transaction Authentication Numbers		1	18
goto		mTAN	Mobile Transaction Authentication Numbers
com	Malware	Carbanak		1	19
com	Malware	Carbanak	Phishing Email	1	19
goto	Malware	Anunak	Carbanak
com		Control Panel items		1	19
goto		CPL	Control Panel items
com	Malware	Carberp		1	19
com		Bangladesh Hack		1	21
com		Federal Reserve Bank of New York		1	21
com	Malware	Dridex		1	21
com		SysMon	Malicious use	1	21
com		SWIFT		1	21
com		SWIFT		1	22
com		VOSTRO		1	22
com		NOSTRO		1	22
com		SWIFT		1	23
com		SWIFT	Technical Architecture	1	23
com		SWIFT	Messaging Bridge	1	23
com		SWIFT	Gateway	1	23
com		SWIFT	NetLink	1	23
com		NetLink		1	23
com		Confirmation printer		1	23
com		Core bank IT systems		1	23
com		SWIFT	Technical Architecture	1	24
com		Bangladesh Hack	Compromised SWIFT Messaging Bridge	1	25
com		Bangladesh Hack	Malware behavior	1	26
com		Bangladesh Hack	liboradb.dll	1	26
ttt_com	Assembly	JNZ (Jump if Not Zero)		1	26
ttt_com	Assembly	NOP (No OPeration)		1	26
com		SWIFT	SWIFT Alliance software	1	26
com		Bangladesh Hack	Memory patch	1	26
com		Bangladesh Hack	Memory patch	1	27
ttt_com	Assembly	JNZ (Jump if Not Zero)		1	27
ttt_com	Assembly	EAX		1	27
ttt_com	Assembly	TEST		1	27
ttt_com	Assembly	XOR		1	27
ttt_com	Assembly	MOV		1	27
ttt_com	Assembly	NOP (No OPeration)		1	27
com		Bangladesh Hack	Malware behavior	1	28
com		Bangladesh Hack	Reason for suspicion/investigation	1	28
com		Bangladesh Hack	Rejected transactions	1	29
com		Bangladesh Hack	Jupiter	1	29
com		Bangladesh Hack	Fraud flow	1	29
com		Bangladesh Hack	Typo	1	29
com		Bangladesh Hack	Cyber Security Posture	1	30
com		Customer Security Program	1	30
goto		CSP	Customer Security Program
com	Ransomware	Locky		1	31
com	Ransomware	Cerber		1	31
com	Ransomware	Jigsaw		1	31
com	Ransomware	Crysis		1	31
com	Ransomware	LeChiffre		1	31
com	Ransomware	Goldeneye		1	31
com	Ransomware	Petya		1	31
com	Ransomware	HDDCryptor		1	31
com	Ransomware	Popcorn Time		1	31
com	Ransomware	Wcry		1	31
com	Ransomware	(Not)Petya		1	31
com		ShadowBrokers		1	31
com	Ransomware	Wcry	SMB Exploit	1	31
com	Ransomware	(Not)Petya	SMB Exploit	1	31
com	Ransomware	(Not)Petya	Mimikatz	1	31
com	Ransomware	(Not)Petya	PsExec	1	31
com	Ransomware	(Not)Petya	WMIC	1	31
com		Crypto-Mining		1	32
com		Crypto-Mining	Browser-based	1	32
com		Crypto-Mining	Host-based	1	32
com	Malware	Stuxnet		1	34
